,0,1,2,3,4,5,6,7,8,9
isAssertionRoulette,0.0029593869850374037,0.001726858883026484,0.0,0.0,0.0,0.0026549958910366254,0.018124393470412697,0.014122585847459687,0.0064676382062150125,0.006914763432817379
isEagerTest,0.0,0.0,0.0,0.00018201907357745376,0.0,0.0,0.0,0.0,0.015371552661178014,0.0
isLazyTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isMysteryGuest,0.004442354615771598,0.0004978396201342194,0.0,0.017350608379200206,0.0,0.0016208654433154167,0.0,0.0,0.0,0.0
isSensitiveEquality,2.3349786283617737e-05,0.0,0.0,0.0,0.002223108206969192,0.0,0.0,0.0,0.0,0.0
isResourceOptimism,0.005314291749443424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isForTestersOnly,0.0,0.003573740994054072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074436080815362855
isIndirectTesting,0.0,0.0,0.0,0.009493898769448426,0.0,0.0,0.0,0.0,0.0016622630345247786,0.0
LOC_prod,0.03004378873676125,0.000917595663532797,0.028098853628556006,0.07840678766294941,0.016478800444905094,0.016518563796164433,0.03657403067903544,0.003260096988451523,0.05018598523166165,0.0
HALSTEAD_prod,0.0024872754303915698,0.0,0.004309601742549797,0.018425061130676882,0.020530928469430398,0.024154721812072927,0.0,0.016920643517279083,0.0,0.02324463474143865
RFC_prod,0.02345663001501627,0.03581919684929976,0.014242432961627778,0.10868614589989722,0.009003005765798466,0.0002504801411944327,0.22056663423750902,0.047425311454918774,0.24157233210517381,0.004486723589180623
CBO_prod,0.11835464410991281,0.02909584239827,0.011940850279179238,0.012070090597737925,0.05806582260692925,0.004102752628266485,0.0808152048888125,0.09622614896743319,0.02996648784468724,0.03520827203052523
MPC_prod,0.0018546111710348102,0.004694543374745045,0.12392831198648128,0.013410465317513722,0.1492976031247463,0.032231286137680094,0.037382779837685905,0.16399254165551394,0.014959878635448351,0.018351115318320104
IFC_prod,0.007589262832693463,0.0013528250547125565,0.006849453261392289,0.0018459101585803453,0.0,0.013648976357991378,0.0018260685872575168,0.0,0.0,0.00523477962902449
DAC_prod,0.003169719151923265,0.0,0.07103502321603361,0.015167987937457855,0.0,0.050062709343637136,0.0,0.0,0.023264666453996125,0.003634080939594995
DAC2_prod,0.0,0.004963997043452716,0.0,0.0008423099869538509,0.007837542534053206,0.012278779651522187,0.006629776789002885,0.0002605077684535748,0.0,0.02891667970052547
LCOM1_prod,0.019312379710498095,0.014982567367630553,0.07999917518492743,0.01635836943506111,0.023809043935849733,0.13196183894617305,0.06466311388413061,0.0744290635650794,0.008285459456208814,0.0
LCOM2_prod,0.01970965265275808,0.14748719655013912,0.01040345824613187,0.10727613600904197,0.0,0.0027502902487756367,0.004529956862879637,0.013058919271690788,0.0,0.12098258168923304
LCOM3_prod,0.09667427326122657,0.14102039493864502,0.11622344896354218,0.21993877588994856,0.008503654814788377,0.005498976129333516,0.014749070024782455,0.0,0.009768439520675529,0.00019382645905260316
LCOM4_prod,0.1349223864445147,0.05760788459206825,0.020775177291030286,0.001497167225203608,0.0,0.02088495207305682,0.0028181553989207065,0.0216453369646729,0.0011940705297889965,0.11248429068299491
CONNECTIVITY_prod,0.013707691584574558,0.024622424900811932,0.016478587269100484,0.01578196713428526,0.0,0.010228756279110058,0.0021304903789008344,0.0,0.01540030394102398,0.0043933236505646145
LCOM5_prod,0.00216259687807521,0.009771380434375884,0.003740761186285978,0.0,0.0033921073247366942,0.0,0.0,0.011369419392134268,0.0,0.0
COH_prod,0.08904727334618602,0.11388778823995181,0.0,0.0049748302842374794,0.010903351375206795,0.11613585522173898,0.010942510989388608,0.008597636364364239,0.10041037807885457,0.016065079445624592
TCC_prod,0.0018121231814987324,0.0,0.0032547975109499198,0.0,0.0,0.0006445673567883097,0.07569438251750599,0.011698940098358908,0.01351668485926945,0.00045226173778940663
LCC_prod,0.00712481237842696,0.0,0.027077137954199495,0.0,0.0406457388503957,0.0,0.0,0.007580206288969406,0.0,0.0
ICH_prod,0.005570782272913066,0.0,0.004463455130555241,0.0,0.005971785178261278,0.006323694332228756,0.0,0.0,0.0,0.0
WMC_prod,0.06121436692160607,0.0,0.031918916771749524,0.012019538502639024,0.14587812216979182,0.1383337088174879,0.0041010089728604985,0.0,0.0,0.08842481742002471
NOA_prod,0.0,0.0,0.0017341961828201968,0.002425797302955142,0.0,0.0034052114713486992,0.03361127435330199,0.0,0.07192020975297919,0.014041799906368295
NOPA_prod,0.000898596678088154,0.01043010591285874,0.0,0.012099868377361834,0.0018031030377652123,0.0,0.007103695951718764,0.008201740210995357,0.0008595324074626823,0.0
NOP_prod,0.0047354932017801945,0.0,0.0,0.006032734035973808,0.04723567465283113,0.0,0.039237572336850414,0.011630193496303197,0.0,0.008901314327155
McCABE_prod,0.052758455432249794,0.010946213037761783,0.05251009254142736,0.011211555603525847,0.03876779945436559,0.04265433380587317,0.024802598250022494,0.17998348597433053,0.05228225993280184,0.06310515873719914
BUSWEIMER_prod,0.0,0.004324827206488726,0.009911457182904012,0.0,0.01141604807012926,0.014132420851018438,0.0032411295394926052,0.007888437755982776,0.0,0.0
LOC_test,0.011552061703779787,0.0,0.008358051447169007,0.03291371260349441,0.018233566217847705,0.0,0.02973076014512151,0.007035084454966103,0.012524287131823504,0.043563750936621015
HALSTEAD_test,0.006771698028482434,0.0386376757363238,0.026416516844890787,0.011448220530294895,0.026810892289298643,0.011503456763661601,0.026131787521195434,0.0,0.0,0.012050897674346072
RFC_test,0.02455561688976923,0.04083608457365976,0.008689110967676472,0.011289304159391979,0.00040592365016734285,0.03275848545085575,0.017425463275372834,0.014776762155954706,0.007106468742393529,0.04603835892755567
CBO_test,0.0,0.0020092026259173634,0.0028420856911141636,0.01335062546928878,0.017830292973348715,0.009497476870647318,0.002069619225217954,0.0,0.012025207109953112,0.0
MPC_test,0.0,0.02889555260771003,0.0003053109613416529,0.00428063819471928,0.006368612015410741,0.056706623385521175,0.011991433951829457,0.008099367894144819,0.030575644315784984,0.03720372991501233
IFC_test,0.0064552519964378345,0.0,0.006972815479659369,0.0,0.005403215142319736,0.021938748120449245,0.0050888620949177754,0.007835099545933729,0.0007670028363138314,0.008855535150167826
DAC_test,0.008136222654005711,0.0028969115826775675,0.004144030626826978,0.003704870386828888,0.006426774450463341,0.007117214297653245,0.00911263146631535,0.0,0.0,0.0
DAC2_test,0.0,0.0059113387967050166,0.006610095283210174,0.0021591062828505213,0.008190971490918846,0.015073096867757098,0.0,0.0,0.0,0.0
LCOM1_test,0.0762960011058616,0.020905306764966426,0.07579277755175923,0.009584610314403257,0.02720711268670603,0.06794709536416549,0.017315220728711885,0.003472417079244571,0.011770985499454023,0.057085917417616226
LCOM2_test,0.03407693976254988,0.0372508704189942,0.046384485288012776,0.08005635934226733,0.062084500356712646,0.011075404815762233,0.042855763962225187,0.04218700491335383,0.08697077866389102,0.01327211850776912
LCOM3_test,0.002479224417470685,0.0,0.0,0.0,0.0,0.0022721564040643102,0.0,0.003635427108387852,0.002780440746679883,0.006930156201387209
LCOM4_test,0.0,0.006057559565322893,0.032101443719722816,0.005543341254092125,0.025923195703030047,0.011252727977797215,0.0005820804070925492,0.01187472957944046,0.0,0.013044082519130182
CONNECTIVITY_test,0.0,0.019475877138457567,0.019437981240571004,0.0,0.022553059581482144,0.027065395094791177,0.0,0.05075273985932288,0.017165151098311033,0.009214282016308976
LCOM5_test,0.0032916314269972363,0.009684108792041918,0.0,0.006166634335727245,0.0,0.0,0.006278361241352198,0.0,0.003799116260776038,0.0
COH_test,0.0043210058653854275,0.01969430958164499,0.0,0.012486896078693606,0.0,0.0,0.0,0.0037635308629064084,0.0028525551913732104,0.0
TCC_test,0.0016994836171996622,0.0,0.012176497534575096,0.0,0.011032020937440906,0.0,0.0,0.0,0.0,0.008271096059626342
LCC_test,0.009082190472134499,0.015986774932373098,0.0,0.09720765819952555,0.020308726486716472,0.0,0.038573604531773956,0.0027136225880580716,0.05582318106916423,0.008781059819105775
ICH_test,0.009246465585705079,0.01752403459939177,0.007040684606793519,0.0,0.0,0.015796049403333786,0.00019553047366552693,0.003323187530921983,0.005733837523051264,0.0
WMC_test,0.04356765561306566,0.04477154198139771,0.009486836533650159,0.0,0.0799957707974314,0.0062169200865388845,0.013122896239470506,0.03420511647866415,0.013857337545108372,0.022273138294319695
NOA_test,0.0,0.0038295355394939927,0.0,0.0,0.006783953637829421,0.0,0.00974064797081845,0.0024414256497611473,0.0,0.0
NOPA_test,0.006132071083042021,0.0,0.0,0.0007207461617271447,0.0,0.0029238898692938845,0.0,0.0,0.0,0.0
NOP_test,0.0012763017920977213,0.0,0.007253239851644258,0.0,0.015335731482998287,0.0032449112693675973,0.011603583834745593,0.006994776728028465,0.0,0.0
McCABE_test,0.015517691012986968,0.006125722251647515,0.06470719055762177,0.00874753983211994,0.0,0.03662514152800284,0.03552619301319208,0.07559298716666378,0.03203567032441665,0.07060668628854505
BUSWEIMER_test,0.0,0.010867538925313528,0.005868776186027723,0.0,0.0032706113395611406,0.0,0.005139685215449045,0.0,0.0010386496741749795,0.0
csm_CDSBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
csm_CC,0.0,0.0,0.0,0.0025686955545044434,0.0,0.0,0.0,0.0,0.0,0.0
csm_FD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
csm_Blob,0.002349107039782219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
csm_SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
csm_MC,0.001175618537195369,0.03212791293474598,0.0,0.0,0.0121665085301308,0.010450083909846688,0.010094786577224416,0.0,0.0,0.015389708574489055
csm_LM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
csm_FE,0.0,0.006169480458422514,0.0,0.005403366829424737,0.0,0.0,0.0,0.015332843545777559,0.03804208147717638,0.0567032784337666
prod_readability,0.003766433057217988,0.0025485082695577803,0.0,0.0,0.018295745826867046,0.0,0.01787724017383676,0.0026614498160143843,0.0,0.00474874824678877
test_readability,0.018905129810167284,0.010070928861275178,0.016516881136289106,0.006869649756418887,0.0036095743863651833,5.6385784675981516e-05,0.0,0.005011211460063574,0.008043462138203915,0.0034883434984745282
